Date,Open,High,Low,Close,Volume
2020-06-09,188.001999,190.888,184.785995,188.134003,56941000
2020-06-10,198.376007,205.496002,196.5,205.009995,92817000
2020-06-11,198.039993,203.792007,194.399994,194.567993,79582500
2020-06-12,196,197.595993,182.520004,187.056,83817000
2020-06-15,183.557999,199.768005,181.699997,198.179993,78486000
2020-06-16,202.369995,202.576004,192.477997,196.425995,70255500
2020-06-17,197.542007,201,196.514008,198.358002,49454000
2020-06-18,200.600006,203.839996,198.893997,200.792007,48759500
2020-06-19,202.556,203.194,198.268005,200.179993,43398500
2020-06-22,199.990005,201.776001,198.003998,198.863998,31812000
2020-06-23,199.776001,202.399994,198.802002,200.356003,31826500
2020-06-24,198.822006,200.175995,190.628006,192.169998,54798000
2020-06-25,190.854004,197.195999,187.429993,197.195999,46272500
2020-06-26,198.955994,199,190.973999,191.947998,44274500
2020-06-29,193.802002,202,189.703995,201.869995,45132000
2020-06-30,201.300003,217.537994,200.746002,215.962006,84592500
2020-07-01,216.600006,227.065994,216.100006,223.925995,66634500
2020-07-02,244.296005,245.600006,237.119995,241.731995,86250500
2020-07-06,255.337997,275.558014,253.207993,274.31601,102849500
2020-07-07,281.002014,285.899994,267.34201,277.971985,107448500
2020-07-08,281,283.451996,262.268005,273.175995,81556500
2020-07-09,279.39801,281.712006,270.256012,278.855988,58588000
2020-07-10,279.200012,309.783997,275.201996,308.929993,116688000
2020-07-13,331.799988,358.997986,294.221985,299.411987,194927000
2020-07-14,311.200012,318,286.200012,303.359985,117090500
2020-07-15,308.600006,310,291.399994,309.201996,81839000
2020-07-16,295.432007,306.34201,293.200012,300.127991,71504000
2020-07-17,302.690002,307.502014,298,300.167999,46650000
2020-07-20,303.802002,330,297.600006,328.600006,85607000
2020-07-21,327.985992,335,311.600006,313.671997,80536000
2020-07-22,319.799988,325.283997,312.399994,318.466003,70805500
2020-07-23,335.790009,337.799988,296.153992,302.614014,121642500
2020-07-24,283.201996,293,273.308014,283.399994,96983000
2020-07-27,287,309.588013,282.600006,307.920013,80243500
2020-07-28,300.799988,312.940002,294.884003,295.298004,79043500
2020-07-29,300.200012,306.962006,297.399994,299.821991,47134500
2020-07-30,297.600006,302.64801,294.200012,297.497986,38105000
2020-07-31,303,303.410004,284.196014,286.152008,61041000
2020-08-03,289.839996,301.962006,288.876007,297,44046500
2020-08-04,299.002014,305.481995,292.399994,297.399994,42075000
2020-08-05,298.597992,299.967987,293.661987,297.003998,24739000
2020-08-06,298.165985,303.462006,295.451996,297.915985,29961500
2020-08-07,299.90799,299.950012,283.002014,290.541992,44482000
2020-08-10,289.600006,291.5,277.167999,283.713989,37611500
2020-08-11,279.200012,284,273,274.877991,43129000
2020-08-12,294,317,287,310.951996,109147000
2020-08-13,322.200012,330.235992,313.451996,324.200012,102126500
2020-08-14,332.997986,333.76001,325.328003,330.141998,62888000
2020-08-17,335.399994,369.171997,334.56601,367.127991,101211500
2020-08-18,379.798004,384.779999,369.022003,377.417999,82372500
2020-08-19,373,382.200012,368.242004,375.705994,61026500
2020-08-20,372.135986,404.39801,371.411987,400.365997,103059000
2020-08-21,408.951996,419.097992,405.01001,409.996002,107448000
2020-08-24,425.256012,425.799988,385.503998,402.839996,100318000
2020-08-25,394.977997,405.589996,393.600006,404.667999,53294500
2020-08-26,412,433.200012,410.726013,430.634003,71197000
2020-08-27,436.09201,459.119995,428.5,447.75,118465000
2020-08-28,459.023987,463.697998,437.303986,442.679993,100406000
2020-08-31,444.609985,500.140015,440.109985,498.320007,118374400
2020-09-01,502.140015,502.48999,470.51001,475.049988,89841100
2020-09-02,478.98999,479.040009,405.119995,447.369995,96176100
2020-09-03,407.230011,431.799988,402,407,87596100
2020-09-04,402.809998,428,372.019989,418.320007,110321900
2020-09-08,356,368.73999,329.880005,330.209991,115465700
2020-09-09,356.600006,369,341.51001,366.279999,79465800
2020-09-10,386.209991,398.98999,360.559998,371.339996,84930600
2020-09-11,381.940002,382.5,360.5,372.720001,60717500
2020-09-14,380.950012,420,373.299988,419.619995,83020600
2020-09-15,436.559998,461.940002,430.700012,449.76001,97298200
2020-09-16,439.869995,457.790009,435.309998,441.76001,72279300
2020-09-17,415.600006,437.790009,408,423.429993,76779200
2020-09-18,447.940002,451,428.799988,442.149994,86406800
2020-09-21,453.130005,455.679993,407.070007,449.390015,109476800
2020-09-22,429.600006,437.76001,417.600006,424.230011,79580800
2020-09-23,405.160004,412.149994,375.880005,380.359985,95074200
2020-09-24,363.799988,399.5,351.299988,387.790009,96561100
2020-09-25,393.470001,408.730011,391.299988,407.339996,67208500
2020-09-28,424.619995,428.079987,415.549988,421.200012,49719600
2020-09-29,416,428.5,411.600006,419.070007,50219300
2020-09-30,421.320007,433.929993,420.470001,429.01001,48145600
2020-10-01,440.76001,448.880005,434.420013,448.160004,50741500
2020-10-02,421.390015,439.130005,415,415.089996,71430000
2020-10-05,423.350006,433.640015,419.329987,425.679993,44722800
2020-10-06,423.790009,428.779999,406.049988,413.980011,49146300
2020-10-07,419.869995,429.899994,413.850006,425.299988,43127700
2020-10-08,438.440002,439,425.299988,425.920013,40421100
2020-10-09,430.130005,434.589996,426.459991,434,28925700
2020-10-12,442,448.73999,438.579987,442.299988,38791100
2020-10-13,443.350006,448.890015,436.600006,446.649994,34463700
2020-10-14,449.779999,465.899994,447.350006,461.299988,47879700
2020-10-15,450.309998,456.570007,442.5,448.880005,35672400
2020-10-16,454.440002,455.950012,438.850006,439.670013,32775900
2020-10-19,446.23999,447,428.869995,430.829987,36287800
2020-10-20,431.75,431.75,419.049988,421.940002,31656300
2020-10-21,422.700012,432.950012,421.25,422.640015,32370500
2020-10-22,441.920013,445.230011,424.51001,425.790009,39993200
2020-10-23,421.839996,422.890015,407.380005,420.630005,33717000
2020-10-26,411.630005,425.76001,410,420.279999,28239200
2020-10-27,423.76001,430.5,420.100006,424.679993,22686500
2020-10-28,416.480011,418.600006,406,406.019989,25451400
2020-10-29,409.959991,418.059998,406.459991,410.829987,22655300
2020-10-30,406.899994,407.589996,379.109985,388.040009,42511300
2020-11-02,394,406.980011,392.299988,400.51001,29021100
2020-11-03,409.730011,427.769989,406.690002,423.899994,34351700
2020-11-04,430.619995,435.399994,417.100006,420.980011,32143100
2020-11-05,428.299988,440,424,438.089996,28414500
2020-11-06,436.100006,436.570007,424.279999,429.950012,21706000
2020-11-09,439.5,452.5,421,421.26001,34833000
2020-11-10,420.089996,420.089996,396.029999,410.359985,30284200
2020-11-11,416.450012,418.700012,410.579987,417.130005,17357700
2020-11-12,415.049988,423,409.519989,411.76001,19855100
2020-11-13,410.850006,412.529999,401.660004,408.5,19771100
2020-11-16,408.929993,412.450012,404.089996,408.089996,26838600
2020-11-17,460.170013,462,433.01001,441.609985,61188300
2020-11-18,448.350006,496,443.5,486.640015,78044000
2020-11-19,492,508.609985,487.570007,499.269989,62475300
2020-11-20,497.98999,502.5,489.059998,489.609985,32911900
2020-11-23,503.5,526,501.790009,521.849976,50260300
2020-11-24,540.400024,559.98999,526.200012,555.380005,53648500
2020-11-25,550.059998,574,545.369995,574,48930200
2020-11-27,581.159973,598.780029,578.450012,585.76001,37561100
2020-11-30,602.210022,607.799988,554.51001,567.599976,63003100
2020-12-01,597.590027,597.849976,572.049988,584.76001,40103500
2020-12-02,556.440002,571.539978,541.210022,568.820007,47775700
2020-12-03,590.02002,598.969971,582.429993,593.380005,42552000
2020-12-04,591.01001,599.039978,585.5,599.039978,29401300
2020-12-07,604.919983,648.789978,603.049988,641.76001,56309700
2020-12-08,625.51001,651.280029,618.5,649.880005,64265000
2020-12-09,653.690002,654.320007,588,604.47998,71291200
2020-12-10,574.369995,627.75,566.340027,627.070007,67083200
2020-12-11,615.01001,624,596.799988,609.98999,46475000
2020-12-14,619,642.75,610.200012,639.830017,52040600
2020-12-15,643.280029,646.900024,623.799988,633.25,45071500
2020-12-16,628.22998,632.5,605,622.77002,42095800
2020-12-17,628.190002,658.820007,619.5,655.900024,56270100
2020-12-18,668.900024,695,628.539978,695,222126200
2020-12-21,666.23999,668.5,646.070007,649.859985,58045300
2020-12-22,648,649.880005,614.22998,640.340027,51716000
2020-12-23,632.200012,651.5,622.570007,645.97998,33173000
2020-12-24,642.98999,666.090027,641,661.77002,22865600
2020-12-28,674.51001,681.400024,660.799988,663.690002,32278600
2020-12-29,661,669.900024,655,665.98999,22910800
2020-12-30,672,696.599976,668.359985,694.780029,42846000
2020-12-31,699.98999,718.719971,691.119995,705.669983,49649900
2021-01-04,719.460022,744.48999,717.190002,729.77002,48638200
2021-01-05,723.659973,740.840027,719.200012,735.109985,32245200
2021-01-06,758.48999,774,749.099976,755.97998,44700000
2021-01-07,777.630005,816.98999,775.200012,816.039978,51498900
2021-01-08,856,884.48999,838.390015,880.02002,75055500
2021-01-11,849.400024,854.429993,803.619995,811.190002,59301600
2021-01-12,831,868,827.340027,849.440002,46270700
2021-01-13,852.76001,860.469971,832,854.409973,33312500
2021-01-14,843.390015,863,838.75,845,31266300
2021-01-15,852,859.900024,819.099976,826.159973,38777600
2021-01-19,837.799988,850,833,844.549988,25367000
2021-01-20,858.73999,859.5,837.280029,850.450012,25665900
2021-01-21,855,855.719971,841.419983,844.98999,20521100
2021-01-22,834.309998,848,828.619995,846.640015,20066500
2021-01-25,855,900.400024,838.820007,880.799988,41173400
2021-01-26,891.380005,895.900024,871.599976,883.090027,23131600
2021-01-27,870.349976,891.5,858.659973,864.159973,27334000
2021-01-28,820,848,801,835.429993,26378000
2021-01-29,830,842.409973,780.099976,793.530029,34990800
2021-02-01,814.289978,842,795.559998,839.809998,25391400
2021-02-02,844.679993,880.5,842.200012,872.789978,24346200
2021-02-03,877.02002,878.080017,853.059998,854.690002,18343500
2021-02-04,855,856.5,833.419983,849.98999,15812700
2021-02-05,845,864.77002,838.969971,852.22998,18566600
2021-02-08,869.669983,877.77002,854.75,863.419983,20161700
2021-02-09,855.119995,859.799988,841.75,849.460022,15157700
2021-02-10,843.640015,844.820007,800.02002,804.820007,36216100
2021-02-11,812.440002,829.880005,801.72998,811.659973,21622800
2021-02-12,801.26001,817.330017,785.330017,816.119995,23768300
2021-02-16,818,821,792.440002,796.219971,19802300
2021-02-17,779.090027,799.840027,762.01001,798.150024,25996500
2021-02-18,780.900024,794.690002,776.27002,787.380005,17957100
2021-02-19,795,796.789978,777.369995,781.299988,18958300
2021-02-22,762.640015,768.5,710.200012,714.5,37269700
2021-02-23,662.130005,713.609985,619,698.840027,66606900
2021-02-24,711.849976,745,694.169983,742.02002,36767000
2021-02-25,726.150024,737.210022,670.580017,682.219971,39023900
2021-02-26,700,706.700012,659.51001,675.5,41089200
2021-03-01,690.109985,719,685.049988,718.429993,27136200
2021-03-02,718.280029,721.109985,685,686.440002,23732200
2021-03-03,687.98999,700.700012,651.710022,653.200012,30208000
2021-03-04,655.799988,668.450012,600,621.440002,65919500
2021-03-05,626.059998,627.840027,539.48999,597.950012,89396500
2021-03-08,600.549988,620.130005,558.789978,563,51787000
2021-03-09,608.179993,678.090027,595.210022,673.580017,67523300
2021-03-10,700.299988,717.849976,655.059998,668.059998,60605700
2021-03-11,699.400024,702.5,677.179993,699.599976,36253900
2021-03-12,670,694.880005,666.140015,693.72998,33583800
2021-03-15,694.090027,713.179993,684.039978,707.940002,29335600
2021-03-16,703.349976,707.919983,671,676.880005,31903400
2021-03-17,656.869995,703.72998,651.01001,701.809998,40083300
2021-03-18,684.289978,689.22998,652,653.159973,33224800
2021-03-19,646.599976,657.22998,624.619995,654.869995,42827400
2021-03-22,684.590027,699.619995,668.75,670,39512200
2021-03-23,675.77002,677.799988,657.51001,662.159973,30491900
2021-03-24,667.909973,668.02002,630.109985,630.27002,33795200
2021-03-25,613,645.5,609.5,640.390015,39224900
2021-03-26,641.869995,643.820007,599.890015,618.710022,33778400
2021-03-29,615.640015,616.47998,596.02002,611.289978,28637000
2021-03-30,601.75,637.659973,591.01001,635.619995,39432400
2021-03-31,646.619995,672,641.109985,667.929993,33337300
2021-04-01,688.369995,692.419983,659.419983,661.75,35298400
2021-04-05,707.710022,708.159973,684.700012,691.049988,41842800
2021-04-06,690.299988,696.549988,681.369995,691.619995,28271800
2021-04-07,687,691.380005,667.840027,670.969971,26309400
2021-04-08,677.380005,689.549988,671.650024,683.799988,23924300
2021-04-09,677.77002,680.969971,669.429993,677.02002,21402600
