,Date,Open,High,Low,Close,Volume,Trend,TrendString
108,2020-09-15,436.55999800000006,461.94000199999994,430.700012,449.76000999999997,97298200,1,Positive
109,2020-09-16,439.869995,457.790009,435.30999800000006,441.76000999999997,72279300,1,Positive
110,2020-09-17,415.600006,437.790009,408.0,423.42999299999997,76779200,1,Positive
111,2020-09-18,447.94000199999994,451.0,428.799988,442.14999400000005,86406800,-1,Negative
112,2020-09-21,453.130005,455.67999299999997,407.070007,449.39001500000006,109476800,-1,Negative
113,2020-09-22,429.60000599999995,437.76000999999997,417.600006,424.23001100000005,79580800,-1,Negative
114,2020-09-23,405.160004,412.149994,375.880005,380.359985,95074200,-1,Negative
115,2020-09-24,363.799988,399.5,351.299988,387.790009,96561100,1,Positive
116,2020-09-25,393.47000099999997,408.730011,391.299988,407.339996,67208500,1,Positive
117,2020-09-28,424.619995,428.079987,415.549988,421.200012,49719600,-1,Negative
118,2020-09-29,416.0,428.5,411.600006,419.070007,50219300,1,Positive
119,2020-09-30,421.32000700000003,433.92999299999997,420.47000099999997,429.01000999999997,48145600,1,Positive
120,2020-10-01,440.76000999999997,448.880005,434.420013,448.160004,50741500,1,Positive
121,2020-10-02,421.39001500000006,439.130005,415.0,415.089996,71430000,-1,Negative
122,2020-10-05,423.35000599999995,433.64001500000006,419.329987,425.67999299999997,44722800,1,Positive
123,2020-10-06,423.790009,428.77999900000003,406.049988,413.980011,49146300,-1,Negative
124,2020-10-07,419.869995,429.89999400000005,413.850006,425.299988,43127700,1,Positive
125,2020-10-08,438.44000199999994,439.0,425.299988,425.920013,40421100,-1,Negative
126,2020-10-09,430.130005,434.589996,426.459991,434.0,28925700,1,Positive
127,2020-10-12,442.0,448.73999000000003,438.579987,442.299988,38791100,1,Positive
128,2020-10-13,443.35000599999995,448.89001500000006,436.60000599999995,446.64999400000005,34463700,1,Positive
129,2020-10-14,449.77999900000003,465.89999400000005,447.35000599999995,461.299988,47879700,1,Positive
130,2020-10-15,450.30999800000006,456.57000700000003,442.5,448.880005,35672400,-1,Negative
131,2020-10-16,454.44000199999994,455.950012,438.85000599999995,439.670013,32775900,-1,Negative
132,2020-10-19,446.23999000000003,447.0,428.869995,430.829987,36287800,-1,Negative
133,2020-10-20,431.75,431.75,419.049988,421.94000199999994,31656300,-1,Negative
134,2020-10-21,422.700012,432.950012,421.25,422.64001500000006,32370500,-1,Negative
135,2020-10-22,441.920013,445.23001100000005,424.51000999999997,425.790009,39993200,-1,Negative
136,2020-10-23,421.839996,422.89001500000006,407.380005,420.630005,33717000,-1,Negative
137,2020-10-26,411.630005,425.76000999999997,410.0,420.27999900000003,28239200,1,Positive
138,2020-10-27,423.76000999999997,430.5,420.10000599999995,424.67999299999997,22686500,1,Positive
139,2020-10-28,416.480011,418.600006,406.0,406.019989,25451400,-1,Negative
140,2020-10-29,409.959991,418.059998,406.459991,410.829987,22655300,1,Positive
141,2020-10-30,406.899994,407.589996,379.109985,388.040009,42511300,-1,Negative
142,2020-11-02,394.0,406.980011,392.299988,400.51001,29021100,1,Positive
143,2020-11-03,409.730011,427.76998899999995,406.690002,423.89999400000005,34351700,1,Positive
144,2020-11-04,430.619995,435.39999400000005,417.100006,420.98001100000005,32143100,-1,Negative
145,2020-11-05,428.299988,440.0,424.0,438.089996,28414500,1,Positive
146,2020-11-06,436.10000599999995,436.57000700000003,424.27999900000003,429.950012,21706000,-1,Negative
147,2020-11-09,439.5,452.5,421.0,421.26000999999997,34833000,-1,Negative
148,2020-11-10,420.089996,420.089996,396.02999900000003,410.359985,30284200,-1,Negative
149,2020-11-11,416.450012,418.700012,410.579987,417.130005,17357700,1,Positive
150,2020-11-12,415.049988,423.0,409.519989,411.76001,19855100,-1,Negative
151,2020-11-13,410.850006,412.52999900000003,401.660004,408.5,19771100,-1,Negative
152,2020-11-16,408.929993,412.450012,404.089996,408.089996,26838600,-1,Negative
153,2020-11-17,460.170013,462.0,433.01000999999997,441.60998499999994,61188300,-1,Negative
154,2020-11-18,448.35000599999995,496.0,443.5,486.64001500000006,78044000,1,Positive
155,2020-11-19,492.0,508.60998499999994,487.57000700000003,499.26998899999995,62475300,1,Positive
156,2020-11-20,497.98999000000003,502.5,489.05999800000006,489.60998499999994,32911900,-1,Negative
157,2020-11-23,503.5,526.0,501.790009,521.849976,50260300,1,Positive
158,2020-11-24,540.400024,559.98999,526.200012,555.380005,53648500,1,Positive
159,2020-11-25,550.0599980000001,574.0,545.369995,574.0,48930200,1,Positive
160,2020-11-27,581.159973,598.780029,578.450012,585.76001,37561100,1,Positive
161,2020-11-30,602.210022,607.799988,554.51001,567.599976,63003100,-1,Negative
162,2020-12-01,597.590027,597.849976,572.049988,584.76001,40103500,-1,Negative
163,2020-12-02,556.4400019999999,571.539978,541.210022,568.820007,47775700,1,Positive
164,2020-12-03,590.02002,598.969971,582.429993,593.380005,42552000,1,Positive
165,2020-12-04,591.01001,599.039978,585.5,599.039978,29401300,1,Positive
166,2020-12-07,604.919983,648.789978,603.049988,641.76001,56309700,1,Positive
167,2020-12-08,625.51001,651.280029,618.5,649.880005,64265000,1,Positive
168,2020-12-09,653.6900019999999,654.320007,588.0,604.47998,71291200,-1,Negative
169,2020-12-10,574.369995,627.75,566.340027,627.070007,67083200,1,Positive
170,2020-12-11,615.01001,624.0,596.799988,609.98999,46475000,-1,Negative
171,2020-12-14,619.0,642.75,610.200012,639.830017,52040600,1,Positive
172,2020-12-15,643.280029,646.900024,623.799988,633.25,45071500,-1,Negative
173,2020-12-16,628.22998,632.5,605.0,622.77002,42095800,-1,Negative
174,2020-12-17,628.1900019999999,658.820007,619.5,655.900024,56270100,1,Positive
175,2020-12-18,668.900024,695.0,628.539978,695.0,222126200,1,Positive
176,2020-12-21,666.23999,668.5,646.070007,649.8599849999999,58045300,-1,Negative
177,2020-12-22,648.0,649.880005,614.22998,640.340027,51716000,-1,Negative
178,2020-12-23,632.200012,651.5,622.570007,645.97998,33173000,1,Positive
179,2020-12-24,642.98999,666.090027,641.0,661.77002,22865600,1,Positive
180,2020-12-28,674.51001,681.400024,660.799988,663.6900019999999,32278600,-1,Negative
181,2020-12-29,661.0,669.900024,655.0,665.98999,22910800,1,Positive
182,2020-12-30,672.0,696.599976,668.3599849999999,694.780029,42846000,1,Positive
183,2020-12-31,699.98999,718.719971,691.119995,705.669983,49649900,1,Positive
184,2021-01-04,719.460022,744.48999,717.1900019999999,729.77002,48638200,1,Positive
185,2021-01-05,723.659973,740.840027,719.200012,735.1099849999999,32245200,1,Positive
